Date,TLT,IEF,SHY,TIP,IVV,LQD,DJP,GLD
2013-02-14,97.02777099609376,92.41280364990234,78.61373901367188,107.57470703125,132.73692321777344,93.47969818115234,41.349998474121094,158.35000610351562
2013-02-15,96.74544525146484,92.32573699951172,78.62309265136719,107.27983856201172,132.589599609375,93.44051361083984,41.18999862670898,155.75999450683594
2013-02-19,96.26380157470705,92.17771911621094,78.61373901367188,107.22621154785156,133.49981689453122,93.41699981689452,41.22000122070313,155.3300018310547
2013-02-20,96.554443359375,92.37800598144531,78.61373901367188,107.2530288696289,131.81802368164062,93.5736312866211,40.90999984741211,151.44000244140625
2013-02-21,97.1190948486328,92.56078338623048,78.64170837402344,107.38706970214844,131.05516052246094,93.72241973876952,40.5,152.6199951171875
2013-02-22,97.18553161621094,92.6740264892578,78.64170837402344,107.61939239501952,132.31214904785156,93.78506469726562,40.47999954223633,152.97000122070312
2013-02-25,99.09554290771484,93.387939453125,78.66031646728516,108.15557861328124,129.83287048339844,94.34101104736328,40.40999984741211,154.33999633789062
2013-02-26,98.52256774902344,93.21382904052734,78.67897033691406,107.89641571044922,130.71711730957028,94.22359466552734,40.540000915527344,156.22000122070312
2013-02-27,98.2319107055664,93.17030334472656,78.67897033691406,107.89641571044922,132.31214904785156,94.19225311279295,40.36000061035156,154.57000732421875
2013-02-28,98.41461181640624,93.3009033203125,78.66963195800781,108.1377182006836,132.19949340820312,94.22359466552734,40.36000061035156,153.0
2013-03-01,98.95056915283205,93.5336456298828,78.6864242553711,108.59342956542969,132.52888488769528,94.43877410888672,40.18999862670898,152.44000244140625
2013-03-04,98.42626190185548,93.31571197509766,78.67708587646484,108.25385284423828,133.187744140625,94.36808776855469,40.209999084472656,152.3000030517578
2013-03-05,98.143310546875,93.21979522705078,78.66777038574219,108.22708892822266,134.39266967773438,94.2109832763672,40.34000015258789,152.3800048828125
2013-03-06,97.25285339355469,92.92345428466795,78.65848541259766,107.98578643798828,134.67008972167972,93.93607330322266,40.08000183105469,153.22999572753906
2013-03-07,96.50384521484376,92.5660629272461,78.63984680175781,107.58366394042969,134.90414428710938,93.62974548339844,40.400001525878906,152.69000244140625
2013-03-08,95.49688720703124,92.0953369140625,78.64913940429688,107.23516845703124,135.47633361816406,93.29988098144531,40.52999877929688,152.7100067138672
2013-03-11,95.5884017944336,92.13892364501952,78.63984680175781,107.18152618408205,135.94442749023438,93.3626708984375,40.599998474121094,152.99000549316406
2013-03-12,96.27914428710938,92.39170837402344,78.65848541259766,107.37814331054688,135.62367248535156,93.5511474609375,40.70000076293945,154.19000244140625
2013-03-13,96.17928314208984,92.31324768066406,78.63984680175781,107.40492248535156,135.81439208984378,93.46476745605469,40.54999923706055,153.66000366210938
2013-03-14,95.88800811767578,92.33940887451172,78.63984680175781,107.59258270263672,136.57725524902344,93.50404357910156,40.88999938964844,153.67999267578125
2013-03-15,96.33739471435548,92.66189575195312,78.66777038574219,107.73555755615234,136.42115783691406,93.62974548339844,40.849998474121094,154.0
2013-03-18,97.06975555419922,92.967041015625,78.6864242553711,107.9679183959961,135.59767150878906,93.8575439453125,40.61999893188477,155.3800048828125
2013-03-19,97.72721862792969,93.25467681884766,78.67708587646484,108.07518005371094,135.372314453125,94.01464080810548,40.58000183105469,156.0800018310547
2013-03-20,96.6370086669922,92.89727783203124,78.66777038574219,107.77135467529295,136.23915100097656,93.7397232055664,40.810001373291016,155.3699951171875
2013-03-21,97.56905364990234,93.141357421875,78.67708587646484,107.8249740600586,135.11222839355472,93.8339614868164,40.7400016784668,156.25
2013-03-22,97.64395904541016,93.17623138427734,78.65848541259766,108.01260375976562,136.16981506347656,93.84182739257812,40.83000183105469,155.5500030517578
2013-03-25,97.55238342285156,93.2459716796875,78.65848541259766,108.02154541015624,135.71951293945312,93.84182739257812,40.709999084472656,155.24000549316406
2013-03-26,97.66893768310548,93.34185791015624,78.66777038574219,108.08407592773438,136.75596618652344,93.90464782714844,40.959999084472656,154.72000122070312
2013-03-27,98.50115203857422,93.74284362792969,78.6864242553711,108.41474151611328,136.66018676757812,94.23456573486328,41.27000045776367,155.36000061035156
2013-03-28,98.00184631347656,93.5684814453125,78.69573211669922,108.37004852294922,137.06085205078122,94.17958068847656,40.61999893188477,154.4499969482422
2013-04-01,98.73992156982422,93.8172607421875,78.70318603515625,108.41478729248048,136.60787963867188,94.0440444946289,40.2599983215332,154.6699981689453
2013-04-02,98.3396224975586,93.63396453857422,78.70318603515625,108.36111450195312,137.25245666503906,94.03620910644531,39.97000122070313,152.42999267578125
2013-04-03,99.22364807128906,94.02677154541016,78.6938705444336,108.6383056640625,135.91110229492188,94.41433715820312,39.5,150.72999572753906
2013-04-04,100.4079818725586,94.402099609375,78.72180938720703,109.14803314208984,136.43373107910156,94.91862487792969,39.43999862670898,150.2899932861328
2013-04-05,102.43466186523438,94.6989288330078,78.72180938720703,109.60408782958984,135.85012817382812,95.21017456054688,39.61000061035156,152.80999755859375
2013-04-08,101.65067291259766,94.39337921142578,78.70318603515625,109.1211929321289,136.686279296875,95.29684448242188,39.709999084472656,152.16000366210938
2013-04-09,101.40045166015624,94.42830657958984,78.70318603515625,109.02283477783205,137.19143676757812,95.39137268066406,39.93000030517578,153.33999633789062
2013-04-10,100.00762939453124,94.03553009033205,78.70318603515625,108.41478729248048,138.90736389160156,95.13921356201172,39.83000183105469,150.75
2013-04-11,100.19942474365234,94.14025115966795,78.70318603515625,108.7187957763672,139.36030578613278,95.2022933959961,39.84000015258789,151.0500030517578
2013-04-12,101.6923828125,94.66395568847656,78.7125015258789,109.16590118408205,138.99447631835938,95.67503356933594,39.400001525878906,143.9499969482422
2013-04-15,102.5764617919922,94.87348175048828,78.72180938720703,109.14803314208984,135.81529235839844,95.70655059814452,38.13999938964844,131.30999755859378
2013-04-16,101.7340850830078,94.60291290283205,78.72180938720703,108.96026611328124,137.79243469238278,95.53321075439452,38.61000061035156,132.80000305175778
2013-04-17,102.40961456298828,94.77742767333984,78.72180938720703,108.94236755371094,135.71951293945312,95.66714477539062,38.2599983215332,132.8699951171875
2013-04-18,102.65982818603516,94.8298110961914,78.72180938720703,108.18228912353516,134.93557739257812,95.75381469726562,38.88000106811523,134.30000305175778
2013-04-19,102.44297790527344,94.77742767333984,78.72180938720703,108.60254669189452,136.02433776855472,95.89561462402344,38.72999954223633,135.47000122070312
2013-04-22,102.51809692382812,94.8298110961914,78.73113250732422,108.88867950439452,136.74726867675778,95.9271469116211,38.58000183105469,137.89999389648438
2013-04-23,102.1594467163086,94.76869201660156,78.72180938720703,108.94236755371094,138.14083862304688,96.05320739746094,38.27999877929688,136.8800048828125
2013-04-24,102.41798400878906,94.81236267089844,78.73113250732422,109.1033172607422,138.13215637207028,96.09258270263672,38.52999877929688,138.3699951171875
2013-04-25,101.97596740722656,94.70761108398438,78.72180938720703,109.18378448486328,138.78538513183594,96.0374526977539,39.13000106811523,141.6300048828125
2013-04-26,102.9100341796875,95.04806518554688,78.74047088623047,109.5862045288086,138.48928833007812,96.38416290283205,38.900001525878906,140.91000366210938
2013-04-29,102.53475189208984,95.01310729980469,78.75908660888672,109.29107666015624,139.44737243652344,96.3920440673828,39.65999984741211,142.3000030517578
2013-04-30,102.5931167602539,94.99568939208984,78.7497787475586,109.22850036621094,139.75222778320312,96.2265396118164,39.47000122070313,142.77000427246094
2013-05-01,103.6470718383789,95.30592346191406,78.76561737060547,109.2024917602539,138.57638549804688,96.65485382080078,38.75,141.11000061035156
2013-05-02,103.51335144042969,95.30592346191406,78.75628662109375,109.08599090576172,139.83059692382812,96.65485382080078,38.88999938964844,141.9199981689453
2013-05-03,101.07281494140624,94.49314880371094,78.72835540771484,108.34188079833984,141.21548461914062,95.74605560302734,39.29999923706055,142.08999633789062
2013-05-06,100.8220672607422,94.37081909179688,78.72835540771484,108.18048095703124,141.5900115966797,95.73025512695312,39.11000061035156,142.14999389648438
2013-05-07,100.4292449951172,94.23967742919922,78.72835540771484,108.17156982421876,142.31295776367188,95.65916442871094,38.93999862670898,140.3800048828125
2013-05-08,100.58808135986328,94.3533172607422,78.73763275146484,107.93843841552734,142.98362731933594,95.74605560302734,39.15999984741211,142.4600067138672
2013-05-09,100.32894897460938,94.33583068847656,78.72835540771484,107.8936004638672,142.60040283203125,95.5406265258789,39.18000030517578,140.80999755859375
2013-05-10,99.25080108642578,93.80270385742188,78.71903228759766,107.5888214111328,143.0446014404297,95.0427703857422,38.93000030517578,139.60000610351562
2013-05-13,98.4901885986328,93.63665008544922,78.70039367675781,107.26608276367188,143.16651916503906,94.79777526855469,38.91999816894531,138.42999267578122
2013-05-14,97.42040252685548,93.26082611083984,78.70039367675781,106.80884552001952,144.6995086669922,94.54492950439452,38.83000183105469,137.80999755859378
2013-05-15,98.07229614257812,93.50555419921876,78.70967102050781,106.84471893310548,145.4311981201172,94.8768310546875,38.63999938964844,134.6300048828125
2013-05-16,99.09197998046876,93.95128631591795,78.72835540771484,107.14952087402344,144.73440551757812,95.31143188476562,38.5099983215332,134.08999633789062
2013-05-17,97.83828735351562,93.44439697265624,78.70967102050781,106.61162567138672,146.15411376953125,94.9005355834961,38.72999954223633,131.07000732421878
2013-05-20,97.72126007080078,93.37445831298828,78.71903228759766,106.58473205566406,146.1889190673828,94.78985595703124,39.11000061035156,135.1199951171875
2013-05-21,98.4901885986328,93.61917877197266,78.71903228759766,106.80884552001952,146.37185668945312,95.1455307006836,38.91999816894531,132.8800048828125
2013-05-22,97.02755737304688,92.87628173828124,78.69103240966797,105.84962463378906,145.27438354492188,94.39472198486328,38.88000106811523,131.94000244140622
2013-05-23,97.4872589111328,92.9724578857422,78.70967102050781,105.87649536132812,144.8476104736328,94.48957824707031,39.06999969482422,134.61000061035156
2013-05-24,97.62098693847656,93.00740051269531,78.69103240966797,105.96615600585938,144.71690368652344,94.42637634277344,38.79999923706055,133.75999450683594
2013-05-28,95.14701080322266,91.9149398803711,78.6351318359375,105.00691223144531,145.60536193847656,93.5176010131836,38.9900016784668,133.49000549316406
2013-05-29,96.21683502197266,92.29076385498048,78.6351318359375,104.93518829345705,144.62112426757812,93.4780731201172,38.790000915527344,134.83000183105472
2013-05-30,95.98283386230469,92.2995147705078,78.65377044677734,104.54969787597656,145.1959686279297,93.59661865234376,38.65999984741211,136.69999694824222
2013-05-31,95.65685272216795,92.04605865478516,78.64448547363281,104.6482925415039,143.10557556152344,93.13037872314452,38.310001373291016,133.91999816894528
2013-06-03,96.16372680664062,92.1790542602539,78.66961669921875,104.55213165283205,143.86338806152344,92.88542175292969,38.77999877929688,136.50999450683594
2013-06-04,95.27566528320312,91.94276428222656,78.66961669921875,104.35440063476562,143.21014404296875,92.52082824707031,38.900001525878906,135.22999572753906
2013-06-05,96.5909652709961,92.38909912109376,78.67893981933594,104.48023223876952,141.13711547851562,92.38605499267578,38.88000106811523,135.52000427246094
2013-06-06,96.53238677978516,92.50287628173828,78.66961669921875,104.36336517333984,142.4261932373047,92.78238677978516,38.79999923706055,136.52999877929688
2013-06-07,94.8064422607422,91.78524780273438,78.66030883789062,103.75221252441406,144.2552947998047,92.4177703857422,38.63000106811523,133.27999877929688
2013-06-10,94.35406494140624,91.55770874023438,78.6323471069336,103.0332260131836,144.2379150390625,92.13241577148438,38.38999938964844,133.94000244140622
2013-06-11,95.47669219970705,91.78524780273438,78.62300872802734,102.97930908203124,142.8181610107422,91.95801544189452,38.209999084472656,133.25
2013-06-12,94.11109161376952,91.37391662597656,78.61370849609375,102.18839263916016,141.6248779296875,91.64092254638672,38.22000122070313,134.25
2013-06-13,95.5856475830078,92.06529998779295,78.65098571777344,102.9703140258789,143.77622985839844,92.62384796142578,38.349998474121094,133.74000549316406
2013-06-14,95.35940551757812,92.18780517578124,78.7069091796875,102.88046264648438,142.8616943359375,92.5604248046875,38.43999862670898,134.42999267578122
2013-06-17,94.85675811767578,91.96902465820312,78.7069091796875,102.54792785644531,144.02886962890625,92.42566680908205,38.61000061035156,133.77000427246094
2013-06-18,94.90701293945312,91.91651916503906,78.7069091796875,102.82653045654295,145.08279418945312,92.24337005615234,38.59000015258789,132.1300048828125
2013-06-19,93.9268035888672,90.65630340576172,78.61370849609375,101.46041870117188,143.18402099609375,90.9354248046875,38.7599983215332,130.58999633789062
2013-06-20,92.38517761230469,90.2449951171875,78.60436248779297,100.43584442138672,139.54319763183594,89.68302154541016,37.58000183105469,123.5999984741211
2013-06-21,90.81848907470705,89.29109191894531,78.53909301757812,99.25845336914062,139.96995544433594,88.94585418701172,37.43999862670898,125.0500030517578
2013-06-24,91.19549560546876,89.07225799560547,78.50181579589844,98.88096618652344,138.17573547363278,88.36717224121094,37.099998474121094,123.93000030517578
2013-06-25,90.38284301757812,88.96725463867188,78.49249267578125,99.0517120361328,139.54319763183594,88.66048431396484,37.09000015258789,123.47000122070312
2013-06-26,90.96930694580078,89.32608795166016,78.52977752685547,99.50112915039062,140.91587829589844,89.33424377441406,36.88999938964844,118.27999877929688
2013-06-27,91.8992919921875,89.80743408203125,78.57636260986328,100.32797241210938,141.73876953125,90.1427764892578,36.68000030517578,115.94000244140624
2013-06-28,92.52762603759766,89.7024154663086,78.56707763671875,100.66954040527344,140.8370361328125,90.08728790283205,36.4900016784668,119.11000061035156
2013-07-01,92.71405792236328,89.73656463623047,78.6015625,100.81260681152344,142.0013885498047,90.32032012939452,36.77000045776367,121.12999725341795
2013-07-02,92.65525817871094,89.7716293334961,78.61090850830078,101.13658142089844,141.773681640625,90.6065902709961,36.86999893188477,120.0500030517578
2013-07-03,92.3781967163086,89.59635925292969,78.6015625,100.9476089477539,141.92259216308594,90.34416961669922,37.13999938964844,120.73999786376952
2013-07-05,89.22918701171875,88.08905029296875,78.51764678955078,99.57066345214844,143.4895477294922,89.19905090332031,36.86000061035156,118.08999633789062
2013-07-08,90.09410858154295,88.60614776611328,78.57359313964844,100.2006378173828,144.2773895263672,89.93062591552734,37.16999816894531,119.51000213623048
2013-07-09,90.18648529052734,88.75508880615234,78.56430053710938,100.15564727783205,145.3104248046875,90.0101547241211,37.38999938964844,120.62000274658205
2013-07-10,89.4811019897461,88.43959045410156,78.56430053710938,99.81364440917969,145.37168884277344,89.74773406982422,37.61000061035156,120.9499969482422
2013-07-11,90.53077697753906,89.32472229003906,78.62954711914062,100.5066146850586,147.47274780273438,90.80536651611328,37.81999969482422,124.23999786376952
2013-07-12,90.45519256591795,89.25457763671875,78.58295440673828,100.5426025390625,147.42019653320312,90.55091857910156,37.7400016784668,124.12999725341795
2013-07-15,90.93385314941406,89.5350341796875,78.62022399902344,101.02859497070312,148.0767822265625,91.1313934326172,37.709999084472656,124.18000030517578
2013-07-16,91.2445068359375,89.57886505126953,78.62954711914062,101.4335479736328,147.45523071289062,90.99624633789062,37.86999893188477,124.88999938964844
2013-07-17,91.41246795654295,89.97315979003906,78.65751647949219,101.7125473022461,147.77037048339844,91.3381576538086,37.68000030517578,123.31999969482422
2013-07-18,90.2704849243164,89.55252838134766,78.648193359375,101.34358215332031,148.6107177734375,91.0995864868164,38.060001373291016,124.01000213623048
2013-07-19,91.69796752929688,90.04332733154297,78.68547058105469,102.0725555419922,148.95216369628906,91.6005859375,38.18000030517578,125.11000061035156
2013-07-22,91.83234405517578,90.0345230102539,78.68547058105469,102.0365219116211,149.18850708007812,91.8073501586914,38.11999893188477,128.83999633789062
2013-07-23,91.44605255126952,89.92937469482422,78.6761703491211,101.80255126953124,148.88217163085938,91.66423034667969,38.15999984741211,129.71000671386722
2013-07-24,90.28726196289062,89.32472229003906,78.63885498046875,100.97460174560548,148.3568878173828,91.2188949584961,37.70000076293945,127.4800033569336
2013-07-25,90.253662109375,89.45616912841797,78.68547058105469,101.02859497070312,148.63702392578125,91.10755920410156,37.52999877929688,128.66999816894528
2013-07-26,90.8078842163086,89.5350341796875,78.69479370117188,101.05558776855469,148.83836364746094,91.2029800415039,37.18999862670898,128.77999877929688
2013-07-29,90.14452362060548,89.35096740722656,78.68547058105469,100.9835968017578,148.400634765625,91.0519027709961,37.040000915527344,128.47000122070312
2013-07-30,90.11085510253906,89.32472229003906,78.69479370117188,100.9385986328125,148.37442016601562,91.07575988769531,36.77000045776367,128.1199951171875
2013-07-31,90.43839263916016,89.38604736328125,78.69479370117188,101.57755279541016,148.4269256591797,91.08372497558594,37.0099983215332,127.95999908447266
2013-08-01,88.69578552246094,88.59712219238281,78.66497039794922,100.86615753173828,150.17771911621094,90.35783386230469,36.97000122070313,126.61000061035156
2013-08-02,89.67232513427734,89.35182189941406,78.72097778320312,101.3794403076172,150.44912719726562,90.80452728271484,36.810001373291016,126.36000061035156
2013-08-05,88.9820327758789,89.0710220336914,78.71163177490234,101.3884735107422,150.30032348632812,90.46151733398438,36.61000061035156,125.6999969482422
2013-08-06,89.24299621582031,89.09734344482422,78.70230865478516,101.63162231445312,149.50363159179688,90.51737213134766,36.36999893188477,123.97000122070312
2013-08-07,89.9080810546875,89.42198944091797,78.72097778320312,101.87472534179688,148.9171600341797,90.7167739868164,36.20000076293945,124.1500015258789
2013-08-08,90.15213775634766,89.55363464355469,78.72097778320312,101.98281860351562,149.43362426757812,90.908203125,36.650001525878906,126.86000061035156
2013-08-09,90.29528045654295,89.61508178710938,78.70230865478516,102.08184814453124,149.02223205566406,90.908203125,36.77000045776367,126.86000061035156
2013-08-12,89.68074035644531,89.43959045410156,78.70230865478516,101.81168365478516,148.79458618164062,90.8603286743164,37.33000183105469,129.1300048828125
2013-08-13,88.38430786132812,88.6322250366211,78.66497039794922,100.92019653320312,149.32859802246094,90.21421813964844,37.27000045776367,127.73999786376952
